"Last Update Timestamp","Seniority","Key Word","Language","Priority"
3/29/2016,"Contributor","actuario","Spanish",5
9/19/2015,"Contributor","administrador","Spanish",4
9/19/2015,"Contributor","advogado","Portuguese",3
9/19/2015,"Contributor","ambasciatore","Italian",3
9/19/2015,"Executive","Amministratore Delegato delle Entrate","Italian",2
9/19/2015,"Contributor","analyste","French",4
9/19/2015,"Contributor","Analytiker","German",4
9/19/2015,"Contributor","architect","English",4
9/19/2015,"Contributor","arquiteto","Portuguese",4
9/19/2015,"Contributor","assistant","English",4
9/19/2015,"Contributor","assistente executivo","Portuguese",2
3/29/2016,"Contributor","attorney","English",5
3/29/2016,"Contributor","auditor","English",5
3/29/2016,"Contributor","avvocato","Italian",5
3/29/2016,"Contributor","bibliotecario","Spanish",5
9/19/2015,"Contributor","blogger","English",3
3/29/2016,"Contributor","broker","English",4
9/19/2015,"Executive","CFO","English",5
9/19/2015,"Executive","chefe","Portuguese",3
9/19/2015,"Executive","CIO","English",5
9/19/2015,"Executive","co-fundador","Spanish",3
3/29/2016,"Contributor","consejo","Spanish",5
9/19/2015,"Contributor","consultant","English",3
9/19/2015,"Manager","contralor","Spanish",3
9/19/2015,"Manager","controllore","Italian",4
9/19/2015,"Contributor","coordinador","Spanish",3
3/29/2016,"Contributor","corretor","Portuguese",4
9/19/2015,"Executive","CRO","English",5
3/29/2016,"Contributor","deputado","Portuguese",5
3/29/2016,"Contributor","diputado","Spanish",5
9/19/2015,"Executive","direttore","Italian",4
9/19/2015,"Manager","editore","Italian",3
9/19/2015,"Contributor","eng","English",5
9/19/2015,"Contributor","escritor","Portuguese",3
9/19/2015,"Contributor","evangelista","Spanish",3
9/19/2015,"Contributor","expedidor","Portuguese",3
9/19/2015,"Executive","fundador","Portuguese",3
3/29/2016,"Contributor","GC","English",5
9/19/2015,"Executive","gestionnaire","French",3
9/19/2015,"Executive","head","English",3
9/19/2015,"Contributor","ingeniero","Spanish",4
3/29/2016,"Contributor","interne","French",2
3/29/2016,"Contributor","investisseur","French",3
9/19/2015,"Contributor","Koordinator","German",3
3/29/2016,"Contributor","librarian","English",5
9/19/2015,"Manager","manager","English",4
9/19/2015,"Contributor","maître","French",3
9/19/2015,"Executive","membro do conselho","Portuguese",2
9/19/2015,"Manager","mordomo","Portuguese",3
3/29/2016,"Contributor","paralegale","Italian",5
9/19/2015,"Executive","partner","English",4
9/19/2015,"Manager","piombo","Italian",3
9/19/2015,"Executive","presidente","Spanish",3
9/19/2015,"Contributor","producer","English",3
9/19/2015,"Contributor","professional","English",4
9/19/2015,"Executive","Präsident","German",3
3/29/2016,"Contributor","acquirente","Italian",2
9/19/2015,"Contributor","receptionist","English",3
9/19/2015,"Contributor","reclutatore","Italian",3
9/19/2015,"Manager","Regler","German",3
9/19/2015,"Contributor","representative","English",3
9/19/2015,"Contributor","réceptionniste","French",3
9/19/2015,"Contributor","scientifique","French",4
9/19/2015,"Contributor","secretary","English",4
9/19/2015,"Executive","socio","Spanish",3
9/19/2015,"Contributor","spécialiste","French",3
9/19/2015,"Manager","sub-director","English",3
9/19/2015,"Manager","supervisor","English",4
9/19/2015,"Contributor","tecnólogo","Portuguese",4
9/19/2015,"Contributor","tesorería","Spanish",4
9/19/2015,"Contributor","trésor","French",4
3/29/2016,"Executive","V P","English",3
9/19/2015,"Executive","Vizepräsident","German",3
9/19/2015,"Contributor","Werber","German",3
9/19/2015,"Manager","éditeur","French",3
3/29/2016,"Contributor","actuaire","French",5
9/19/2015,"Contributor","admin","English",4
9/19/2015,"Contributor","advocate","English",3
3/29/2016,"Contributor","Aktuar","German",5
9/19/2015,"Executive","amministratore delegato","Italian",2
9/19/2015,"Contributor","appaltatore","Italian",3
9/19/2015,"Contributor","arquitecto","Spanish",4
9/19/2015,"Contributor","assessor","Portuguese",3
9/19/2015,"Contributor","assistente","Spanish",4
9/19/2015,"Contributor","assoziieren","German",4
9/19/2015,"Contributor","avvocato","Italian",3
9/19/2015,"Contributor","Berater","German",3
3/29/2016,"Contributor","bibliothécaire","French",5
9/19/2015,"Contributor","Botschafter","German",3
9/19/2015,"Executive","CEO","English",5
9/19/2015,"Executive","chef","French",4
9/19/2015,"Contributor","científico","Spanish",3
9/19/2015,"Executive","co-founder","English",3
9/19/2015,"Contributor","conseiller","French",3
9/19/2015,"Contributor","consulente","Italian",3
9/19/2015,"Contributor","contractor","English",3
9/19/2015,"Manager","controller","English",4
9/19/2015,"Contributor","coordenador","Portuguese",3
3/29/2016,"Contributor","corredor","Spanish",4
9/19/2015,"Executive","CPO","English",5
9/19/2015,"Contributor","defensor","Spanish",3
9/19/2015,"Contributor","dipl","English",5
9/19/2015,"Executive","diretor","Portuguese",4
9/19/2015,"Manager","editor","English",3
9/19/2015,"Contributor","empleado","Spanish",3
3/29/2016,"Contributor","esaminatore","Italian",3
9/19/2015,"Contributor","evangelist","English",3
9/19/2015,"Contributor","executive assistant","English",2
9/19/2015,"Executive","Founder","English",3
3/29/2016,"Contributor","G C","English",5
3/29/2016,"Executive","G.M.","English",5
9/19/2015,"Executive","Geschäftsführer","German",3
9/19/2015,"Contributor","Haupt","German",3
9/19/2015,"Contributor","ingegnere","Italian",4
3/29/2016,"Contributor","internar","Portuguese",2
3/29/2016,"Contributor","investidor","Portuguese",3
9/19/2015,"Contributor","journaliste","French",3
9/19/2015,"Executive","Land-Manager","German",3
3/29/2016,"Contributor","lawyer","English",2
9/19/2015,"Manager","Leiter","German",4
3/29/2016,"Contributor","Makler","German",4
9/19/2015,"Contributor","master","English",3
9/19/2015,"Executive","membro di bordo","Italian",2
9/19/2015,"Executive","Mitbegründer","German",3
9/19/2015,"Executive","officer","English",3
3/29/2016,"Contributor","paralegal","English",5
9/19/2015,"Contributor","personal","Spanish",4
9/19/2015,"Manager","plomb","French",3
9/19/2015,"Executive","presidentessa","Italian",3
9/19/2015,"Contributor","producteur","French",3
9/19/2015,"Executive","propietario","Spanish",3
9/19/2015,"Executive","président","French",3
3/29/2016,"Contributor","acheteur","French",2
3/29/2016,"Contributor","Rechnungsprüfer","German",5
9/19/2015,"Contributor","recruiter","English",3
9/19/2015,"Contributor","rep","English",5
9/19/2015,"Contributor","représentant","French",3
9/19/2015,"Contributor","répartiteur","French",3
9/19/2015,"Contributor","scientist","English",4
9/19/2015,"Contributor","secretário","Portuguese",4
9/19/2015,"Manager","sous-directeur","French",3
9/19/2015,"Manager","Sr.Dir.","English",3
9/19/2015,"Manager","Sub-Direktor","German",3
9/19/2015,"Manager","supervisore","Italian",4
9/19/2015,"Manager","Teilmanager","German",3
9/19/2015,"Contributor","tesoriere","Italian",4
9/19/2015,"Contributor","trésorier","French",4
9/19/2015,"Executive","V.P.","English",3
9/19/2015,"Executive","Vorsitzende","German",3
9/19/2015,"Contributor","évangéliste","French",3
9/19/2015,"Contributor","account manager","English",2
3/29/2016,"Contributor","adm","English",5
9/19/2015,"Contributor","advisor","English",3
9/19/2015,"Contributor","agente","Spanish",3
9/19/2015,"Contributor","amministratore","Italian",3
3/29/2016,"Contributor","anaylst","English",4
9/19/2015,"Contributor","architetto","Italian",4
9/19/2015,"Contributor","asociado","Spanish",4
9/19/2015,"Contributor","assistant to","English",1
9/19/2015,"Contributor","associé","French",4
3/29/2016,"Contributor","auditeur","French",5
3/29/2016,"Contributor","avocat","French",5
9/19/2015,"Contributor","Befürworter","German",3
3/29/2016,"Contributor","Bibliothekar","German",5
9/19/2015,"Contributor","bookkeeper","English",3
9/19/2015,"Executive","CDO","English",5
9/19/2015,"Executive","Chairwoman","English",3
9/19/2015,"Contributor","cientista","Portuguese",3
9/19/2015,"Executive","CISO","English",5
9/19/2015,"Contributor","clerk","English",3
9/19/2015,"Executive","co-fondatore","Italian",3
3/29/2016,"Contributor","Conseil","French",5
3/29/2016,"Contributor","consiglio","Italian",5
9/19/2015,"Contributor","contabile","Italian",3
9/19/2015,"Manager","controlador","Spanish",3
9/19/2015,"Executive","COO","English",5
9/19/2015,"Contributor","coordinatore","Italian",3
3/29/2016,"Contributor","courtier","French",4
9/19/2015,"Contributor","DBA","English",5
9/19/2015,"Contributor","developer","English",3
9/19/2015,"Manager","director","English",4
9/19/2015,"Contributor","doctor","English",3
9/19/2015,"Contributor","embaixador","Portuguese",3
9/19/2015,"Contributor","entrepreneur","French",3
9/19/2015,"Contributor","especialista","Spanish",3
3/29/2016,"Contributor","examiner","English",3
9/19/2015,"Executive","fondatore","Italian",3
9/19/2015,"Manager","Führung","German",3
9/19/2015,"Executive","G.M.","English",5
9/19/2015,"Executive","gerente","Spanish",4
9/19/2015,"Executive","Gründer","German",3
9/19/2015,"Contributor","ing","Spanish",5
3/29/2016,"Contributor","intern","English",2
3/29/2016,"Contributor","inversor","Spanish",3
9/19/2015,"Executive","jefe","Spanish",4
9/19/2015,"Manager","leader","English",4
9/19/2015,"Contributor","maestro","Spanish",3
9/19/2015,"Executive","managing director","English",2
9/19/2015,"Executive","membre du conseil d'administration","French",2
9/19/2015,"Executive","miembro de la Junta","Spanish",2
9/19/2015,"Contributor","ninja","English",3
9/19/2015,"Executive","oficial","Spanish",3
3/29/2016,"Contributor","parajuriste","French",5
9/19/2015,"Contributor","personale","Italian",4
9/19/2015,"Manager","plomo","Spanish",3
9/19/2015,"Contributor","principal","English",4
9/19/2015,"Contributor","productor","Spanish",3
9/19/2015,"Executive","proprietario","Italian",3
3/29/2016,"Contributor","purchaser","English",2
3/29/2016,"Contributor","comprador","Spanish",2
3/29/2016,"Contributor","Rechtsanwalt","German",5
9/19/2015,"Contributor","recrutador","Portuguese",3
9/19/2015,"Contributor","reporter","English",3
9/19/2015,"Contributor","repórter","Portuguese",3
9/19/2015,"Contributor","Schatzmeister","German",4
9/19/2015,"Contributor","scienziato","Italian",4
9/19/2015,"Contributor","secrétaire","French",4
9/19/2015,"Contributor","specialist","English",3
9/19/2015,"Manager","SrDir","English",3
9/19/2015,"Manager","sub-diretor","Portuguese",3
9/19/2015,"Contributor","Technologe","German",4
9/19/2015,"Contributor","tecnologo","Italian",4
9/19/2015,"Contributor","tecnólogo","Spanish",4
9/19/2015,"Contributor","tenedor de libros","Spanish",2
9/19/2015,"Contributor","tesouraria","Portuguese",4
9/19/2015,"Contributor","tutor","Spanish",3
9/19/2015,"Contributor","Vertreter","German",3
9/19/2015,"Contributor","Vorstandsassistent","German",3
9/19/2015,"Contributor","Wissenschaftler","German",3
9/19/2015,"Contributor","account executive","English",2
3/29/2016,"Contributor","adjoint","French",5
9/19/2015,"Contributor","administrator","English",4
9/19/2015,"Contributor","agent","English",3
9/19/2015,"Contributor","ambassador","English",3
9/19/2015,"Contributor","analyst","English",4
9/19/2015,"Contributor","Architekt","German",4
9/19/2015,"Contributor","asistente ejecutivo","Spanish",2
9/19/2015,"Contributor","assistant for","English",1
9/19/2015,"Contributor","associate","English",4
3/29/2016,"Contributor","atuário","Portuguese",5
9/19/2015,"Contributor","avocat","French",3
3/29/2016,"Contributor","barrister","English",5
3/29/2016,"Contributor","bibliotecário","Portuguese",5
9/19/2015,"Executive","board member","English",2
9/19/2015,"Executive","capo","Italian",4
9/19/2015,"Executive","Chairperson","English",3
9/19/2015,"Executive","chief of staff","English",1
9/19/2015,"Executive","co-fondateur","French",3
9/19/2015,"Manager","comptroller","English",4
9/19/2015,"Executive","consigliere delegato","Italian",2
9/19/2015,"Contributor","conta executivo","Portuguese",2
9/19/2015,"Contributor","contratista","Spanish",3
9/19/2015,"Contributor","coordinator","English",3
9/19/2015,"Executive","country manager","English",2
9/19/2015,"Executive","CTO","English",5
9/19/2015,"Contributor","despachador","Spanish",3
9/19/2015,"Executive","directeur","French",4
9/19/2015,"Contributor","dispatcher","Italian",3
9/19/2015,"Contributor","ejecutivo de cuentas","Spanish",2
9/19/2015,"Contributor","engineer","English",4
9/19/2015,"Contributor","escriturário","Portuguese",3
3/29/2016,"Contributor","examinateur","French",3
9/19/2015,"Executive","fondateur","French",3
9/19/2015,"Manager","Führer","German",3
3/29/2016,"Contributor","G.C.","English",5
9/19/2015,"Executive","Generaldirektor","German",3
9/19/2015,"Contributor","greffier","French",3
9/19/2015,"Contributor","impiegato","Italian",3
9/19/2015,"Contributor","ingénieur","French",4
3/29/2016,"Contributor","interno","Spanish",2
3/29/2016,"Contributor","investor","English",3
9/19/2015,"Manager","lead","English",4
9/19/2015,"Manager","líder","Spanish",4
9/19/2015,"Contributor","Meister","German",3
9/19/2015,"Manager","mgr","English",5
9/19/2015,"Contributor","médico","Spanish",3
9/19/2015,"Executive","Offizier","German",3
9/19/2015,"Executive","owner","English",3
9/19/2015,"Executive","parceiro","Portuguese",4
9/19/2015,"Contributor","personnel","French",4
9/19/2015,"Executive","president","English",3
9/19/2015,"Executive","principal executivo","Portuguese",1
9/19/2015,"Contributor","produtor","Portuguese",3
9/19/2015,"Executive","proprietário","Portuguese",3
3/29/2016,"Contributor","buyer","English",2
9/19/2015,"Contributor","rappresentante","Italian",3
3/29/2016,"Contributor","Rechtsassistent","German",5
9/19/2015,"Contributor","recruteur","French",3
9/19/2015,"Contributor","reportero","Spanish",3
9/19/2015,"Contributor","Schreiber","German",3
9/19/2015,"Contributor","scrittore","Italian",4
9/19/2015,"Contributor","segretario","Italian",4
9/19/2015,"Contributor","specialista","Italian",3
9/19/2015,"Contributor","staff","English",4
9/19/2015,"Manager","sub-manager","English",3
9/19/2015,"Contributor","technologist","English",4
9/19/2015,"Contributor","tesoreria","Italian",4
9/19/2015,"Contributor","tesoureiro","Portuguese",4
3/29/2016,"Contributor","uditore","Italian",5
9/19/2015,"Contributor","Verwalter","German",3
9/19/2015,"Executive","Vorstandsmitglied","German",3
9/19/2015,"Contributor","writer","English",3
3/29/2016,"Contributor","abogado","Spanish",5
3/29/2016,"Contributor","actuary","English",5
9/19/2015,"Contributor","administrateur","French",4
3/29/2016,"Contributor","advogado","Portuguese",5
9/19/2015,"Contributor","ambassadeur","French",3
9/19/2015,"Contributor","analista","Spanish",4
9/19/2015,"Contributor","architecte","French",4
9/19/2015,"Contributor","Arzt","German",3
9/19/2015,"Contributor","assistant exécutif","French",2
9/19/2015,"Contributor","associado","Portuguese",4
3/29/2016,"Contributor","attuario","Italian",5
9/19/2015,"Contributor","Auftragnehmer","German",3
9/19/2015,"Contributor","balconista","Portuguese",3
3/29/2016,"Contributor","bibliotecario","Italian",5
9/19/2015,"Contributor","blogueur","French",3
9/19/2015,"Contributor","Buchhalter","German",3
9/19/2015,"Executive","Chairman","English",3
9/19/2015,"Executive","chief","English",3
9/19/2015,"Executive","CMO","English",5
9/19/2015,"Contributor","comptable","French",3
3/29/2016,"Contributor","conselho","Portuguese",5
9/19/2015,"Contributor","consultor","Spanish",3
9/19/2015,"Contributor","contratante","Portuguese",3
9/19/2015,"Manager","contrôleur","French",3
9/19/2015,"Contributor","coordinateur","French",3
3/29/2016,"Contributor","counsel","English",5
9/19/2015,"Executive","CSO","English",5
3/29/2016,"Contributor","deputy","English",5
9/19/2015,"Manager","dir","English",5
9/19/2015,"Contributor","dispatcher","English",3
9/19/2015,"Executive","Eigentümer","German",3
9/19/2015,"Contributor","embajador","Spanish",3
9/19/2015,"Contributor","Empfangsdame","German",3
9/19/2015,"Contributor","engenheiro","Portuguese",4
9/19/2015,"Contributor","escritor","Spanish",3
3/29/2016,"Contributor","examinador","Spanish",3
9/19/2015,"Contributor","expert","English",3
9/19/2015,"Executive","fundador","Spanish",3
3/29/2016,"Executive","G M","English",5
9/19/2015,"Executive","general manager","English",2
9/19/2015,"Executive","GM","English",5
9/19/2015,"Contributor","Hersteller","German",3
9/19/2015,"Contributor","Ingenieur","German",4
3/29/2016,"Contributor","internieren","German",2
3/29/2016,"Contributor","investitore","Italian",3
9/19/2015,"Contributor","Kundenbetreuer","German",3
9/19/2015,"Manager","liderança","Portuguese",4
9/19/2015,"Contributor","medico","Italian",3
9/19/2015,"Contributor","mestre","Portuguese",3
9/19/2015,"Contributor","médecin","French",3
9/19/2015,"Executive","officier","French",3
9/19/2015,"Executive","partenaire","French",4
9/19/2015,"Contributor","pessoal","Portuguese",4
9/19/2015,"Executive","presidenta","Spanish",3
9/19/2015,"Contributor","principale","Italian",4
9/19/2015,"Contributor","produttore","Italian",3
9/19/2015,"Executive","propriétaire","French",3
9/19/2015,"Executive","présidente","French",3
3/29/2016,"Contributor","Prüfer","German",3
3/29/2016,"Contributor","Käufer","German",2
9/19/2015,"Contributor","recepcionista","Spanish",3
9/19/2015,"Contributor","reclutador","Spanish",3
9/19/2015,"Manager","Regisseur","German",3
9/19/2015,"Contributor","representante","Spanish",3
9/19/2015,"Contributor","researcher","English",3
9/19/2015,"Contributor","Schriftsteller","German",3
9/19/2015,"Contributor","secretario","Spanish",4
9/19/2015,"Contributor","Sekretär","German",4
9/19/2015,"Contributor","Spezialist","German",3
3/29/2016,"Contributor","Stellvertreter","German",5
9/19/2015,"Manager","superviseur","French",3
9/19/2015,"Contributor","technologue","French",4
9/19/2015,"Contributor","tesorero","Spanish",4
9/19/2015,"Contributor","Treasurer","English",4
9/19/2015,"Executive","ufficiale","Italian",3
9/19/2015,"Manager","vicedirettore","Italian",3
9/19/2015,"Executive","VP","English",3
9/19/2015,"Contributor","écrivain","French",3
