"YourAutoDate","Last Update Timestamp","Marketing Job Sub-Function","Keyword","Language","Priority"
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Act-On","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","ADR","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Media and Advertising","agency","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Media and Advertising","advertising","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","analytic","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","alliance","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","art","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Analyst Relations","analyst relation","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","automation","English",1
2022-10-19T11:51:34.000Z,3/18/2021,,"assemb","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","B2B","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","B2C","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","business development","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","banquet","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","channel","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","behavior","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","conference","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","blog","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","creative","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","brand","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","customer","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Media and Advertising","buyer","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Database","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","campaign","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","distribution","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","chief","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Dynamic","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","CMO","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","e-marketer","English",2
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","commerce","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","editor","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","communication","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Eloqua","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","community","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","emarketer","English",2
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","competitive","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","event","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","consumer","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","Facebook","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","content","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Events","facility","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","CRM","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","field","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","data","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","growth","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","demand creation","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","hack","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","demand gen","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","HubSpot","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","demand op","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","infrastructure","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","demandop","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","Instagram","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","designer","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","intelligence","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","development","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","lead","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","digital","English",2
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","marcom","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","direct marketing","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","marketer","English",10
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","engagement","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","marketing","English",10
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Exact Target","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","MarTech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","exhibition","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","marketing tech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","facilities","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","RevTech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","government","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","revenue tech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","inbound","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","meeting","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","insight","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","operation","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","line","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","outbound","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","mail","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Pardot","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","market research","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","platform","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Mar Tech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","PR coordinator","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","marketingtech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","press","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Rev Tech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","producer","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","revenuetech","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","product","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Marketo","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","product marketing","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Media and Advertising","media","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","program","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","merchandise","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","reporting","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","multi","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","research","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","officer","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","sales","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","ops","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","SDR","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","partner","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Silverpop","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","photo","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","social","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","PR analyst","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","social responsibility","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","PR manager","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","strategist","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","PR specialist","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","supplier","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","prod marketing","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","syndicate","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","prod mkt","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","technology","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","production","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","video","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","prospect","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","webmaster","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","public","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","public sector","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","relation","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Salesforce.com","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","search","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","SEM","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","SEO","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","shopper","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Siebel","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","social","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","sponsor","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","strategy","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","success","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","syndication","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","system","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","technologist","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","Twitter","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","web","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","writer","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","YouTube","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Zoho","English",1
